Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
Apple Inc. ,NasdaqGS,AAPL,Information Technology,1977,US/CA,154000,AA+,AA+,Public Company,16070.8,170.03,2672893.0,365817.0,167861.0,129557.0,118329.0,99633.0,34940.0,49527.0,351002.0,136522.0,63090.0,6.1,6.19,43,128028.1,19,117113.73,37,2732518.124,7.306639658627128,20.631019551239994,22.58865535921034,27.87377049180328
Microsoft Corporation ,NasdaqGS,MSFT,Information Technology,1975,US/CA,221000,AAA,AAA,Public Company,7457.9,278.85,2053284.1,198270.0,135620.0,97983.0,83383.0,72738.0,13931.0,87546.0,364840.0,78400.0,166542.0,9.7,10.2,39,108986.7,19,93308.0,37,2079635.415,10.355999899127452,20.95551371156221,24.624732859215907,28.747422680412374
"Amazon.com, Inc. ",NasdaqGS,AMZN,Consumer Discretionary,1994,US/CA,1608000,AA,AA,Public Company,10187.6,137.28,1495397.5,469822.0,207214.0,52620.0,15298.0,11607.0,36220.0,216363.0,420549.0,139439.0,138245.0,1.14,1.66,39,81506.1,20,22114.89,40,1398553.7280000001,3.182902248085445,28.418804637020145,97.75117662439534,120.42105263157896
Alphabet Inc. ,NasdaqGS,GOOGL,Communication Services,1998,US/CA,174014,AA+,AA+,Public Company,13044.0,116.65,1431866.8,257637.0,157827.0,96887.0,82463.0,72016.0,20945.0,110558.0,359268.0,28508.0,251635.0,5.45,5.4,40,119038.0,30,83615.16,44,1521582.6,5.557690859620319,14.778729860559208,17.363748590276852,21.403669724770644
"Tesla, Inc. ",NasdaqGS,TSLA,Consumer Discretionary,2003,US/CA,99290,BB+,BB+,Public Company,3133.5,296.07,916758.5,53823.0,18201.0,14030.0,10840.0,9516.0,17576.0,31176.0,62131.0,8904.0,31583.0,3.11,4.89,28,24690.5,16,17816.98,24,927735.345,17.032839120821954,65.34272986457592,84.57181734317344,95.19935691318328
Exxon Mobil Corporation ,NYSE,XOM,Energy,1870,US/CA,63000,AA-,AA-,Public Company,4167.6,99.09,448185.1,278981.0,113555.0,69708.0,49898.0,38950.0,6802.0,222634.0,338923.0,53029.0,175683.0,9.14,11.9,24,102103.2,12,67614.27,7,412967.48400000005,1.6065076116294656,6.4294643369484135,8.98202533167662,10.841356673960613
Visa Inc. ,NYSE,V,Information Technology,1958,US/CA,21500,AA-,AA-,Public Company,2068.8,209.82,443372.1,24105.0,27332.0,19788.0,18951.0,14601.0,16487.0,2110.0,82896.0,21551.0,37589.0,6.81,8.0,27,22274.0,20,21235.58,28,434075.61600000004,18.393366521468575,22.406109763493024,23.39570998891879,30.81057268722467
NVIDIA Corporation ,NasdaqGS,NVDA,Information Technology,1993,US/CA,22473,A,A,Public Company,2504.0,179.13,443199.1,26914.0,18018.0,10679.0,9360.0,7741.0,1990.0,3607.0,44187.0,11831.0,26612.0,3.1,3.54,34,10550.3,3,10079.33,27,448541.51999999996,16.467232667013448,41.50192901957112,47.350331196581195,57.78387096774193
Johnson & Johnson ,NYSE,JNJ,Health Care,1886,US/CA,141700,AAA,AAA,Public Company,2629.2,167.13,439443.8,93775.0,64952.0,32382.0,25212.0,18366.0,14487.0,19862.0,182018.0,34751.0,74023.0,6.98,10.2,18,35118.6,8,31165.19,15,439418.19599999994,4.686150893095174,13.570619479958001,17.429946057432968,23.944126074498566
Walmart Inc. ,NYSE,WMT,Consumer Staples,1945,US/CA,2300000,AA,AA,Public Company,2741.2,135.87,432104.1,572754.0,144594.0,34586.0,23851.0,13870.0,14760.0,112624.0,244860.0,58418.0,91891.0,5.02,6.2,32,35771.2,18,24378.27,26,372446.844,0.7544322693512397,12.493613022610305,18.11681271225525,27.065737051792834
