"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Apple Inc. ","NasdaqGS","AAPL","Information Technology",1977,"US/CA",154000,"AA+","AA+","Public Company",16070.8,170.03,2672893,365817,167861,129557,118329,99633,34940,49527,351002,136522,63090,6.1,6.19,43,128028.1,19,117113.73,37
"Microsoft Corporation ","NasdaqGS","MSFT","Information Technology",1975,"US/CA",221000,"AAA","AAA","Public Company",7457.9,278.85,2053284.1,198270,135620,97983,83383,72738,13931,87546,364840,78400,166542,9.7,10.2,39,108986.7,19,93308,37
"Amazon.com, Inc. ","NasdaqGS","AMZN","Consumer Discretionary",1994,"US/CA",1608000,"AA","AA","Public Company",10187.6,137.28,1495397.5,469822,207214,52620,15298,11607,36220,216363,420549,139439,138245,1.14,1.66,39,81506.1,20,22114.89,40
"Alphabet Inc. ","NasdaqGS","GOOGL","Communication Services",1998,"US/CA",174014,"AA+","AA+","Public Company",13044,116.65,1431866.8,257637,157827,96887,82463,72016,20945,110558,359268,28508,251635,5.45,5.4,40,119038,30,83615.16,44
"Tesla, Inc. ","NasdaqGS","TSLA","Consumer Discretionary",2003,"US/CA",99290,"BB+","BB+","Public Company",3133.5,296.07,916758.5,53823,18201,14030,10840,9516,17576,31176,62131,8904,31583,3.11,4.89,28,24690.5,16,17816.98,24
"Exxon Mobil Corporation ","NYSE","XOM","Energy",1870,"US/CA",63000,"AA-","AA-","Public Company",4167.6,99.09,448185.1,278981,113555,69708,49898,38950,6802,222634,338923,53029,175683,9.14,11.9,24,102103.2,12,67614.27,7
"Visa Inc. ","NYSE","V","Information Technology",1958,"US/CA",21500,"AA-","AA-","Public Company",2068.8,209.82,443372.1,24105,27332,19788,18951,14601,16487,2110,82896,21551,37589,6.81,8,27,22274,20,21235.58,28
"NVIDIA Corporation ","NasdaqGS","NVDA","Information Technology",1993,"US/CA",22473,"A","A","Public Company",2504,179.13,443199.1,26914,18018,10679,9360,7741,1990,3607,44187,11831,26612,3.1,3.54,34,10550.3,3,10079.33,27
"Johnson & Johnson ","NYSE","JNJ","Health Care",1886,"US/CA",141700,"AAA","AAA","Public Company",2629.2,167.13,439443.8,93775,64952,32382,25212,18366,14487,19862,182018,34751,74023,6.98,10.2,18,35118.6,8,31165.19,15
"Walmart Inc. ","NYSE","WMT","Consumer Staples",1945,"US/CA",2300000,"AA","AA","Public Company",2741.2,135.87,432104.1,572754,144594,34586,23851,13870,14760,112624,244860,58418,91891,5.02,6.2,32,35771.2,18,24378.27,26
