,ID,Name,Sex,Age,Height,Weight
0,1,A Dijiang,M,24.0,180.0,80.0
1,2,A Lamusi,M,23.0,170.0,60.0
2,3,Gunnar Nielsen Aaby,M,24.0,,
3,4,Edgar Lindenau Aabye,M,34.0,,
4,5,Christine Jacoba Aaftink,F,21.0,185.0,82.0
5,5,Christine Jacoba Aaftink,F,21.0,185.0,82.0
6,5,Christine Jacoba Aaftink,F,25.0,185.0,82.0
7,5,Christine Jacoba Aaftink,F,25.0,185.0,82.0
8,5,Christine Jacoba Aaftink,F,27.0,185.0,82.0
9,5,Christine Jacoba Aaftink,F,27.0,185.0,82.0
10,6,Per Knut Aaland,M,31.0,188.0,75.0
11,6,Per Knut Aaland,M,31.0,188.0,75.0
12,6,Per Knut Aaland,M,31.0,188.0,75.0
13,6,Per Knut Aaland,M,31.0,188.0,75.0
14,6,Per Knut Aaland,M,33.0,188.0,75.0
15,6,Per Knut Aaland,M,33.0,188.0,75.0
16,6,Per Knut Aaland,M,33.0,188.0,75.0
17,6,Per Knut Aaland,M,33.0,188.0,75.0
18,7,John Aalberg,M,31.0,183.0,72.0
19,7,John Aalberg,M,31.0,183.0,72.0
20,7,John Aalberg,M,31.0,183.0,72.0
21,7,John Aalberg,M,31.0,183.0,72.0
22,7,John Aalberg,M,33.0,183.0,72.0
23,7,John Aalberg,M,33.0,183.0,72.0
24,7,John Aalberg,M,33.0,183.0,72.0
25,7,John Aalberg,M,33.0,183.0,72.0
26,8,"Cornelia ""Cor"" Aalten (-Strannood)",F,18.0,168.0,
27,8,"Cornelia ""Cor"" Aalten (-Strannood)",F,18.0,168.0,
28,9,Antti Sami Aalto,M,26.0,186.0,96.0
29,10,"Einar Ferdinand ""Einari"" Aalto",M,26.0,,
30,11,Jorma Ilmari Aalto,M,22.0,182.0,76.5
31,12,Jyri Tapani Aalto,M,31.0,172.0,70.0
32,13,Minna Maarit Aalto,F,30.0,159.0,55.5
33,13,Minna Maarit Aalto,F,34.0,159.0,55.5
34,14,Pirjo Hannele Aalto (Mattila-),F,32.0,171.0,65.0
35,15,Arvo Ossian Aaltonen,M,22.0,,
36,15,Arvo Ossian Aaltonen,M,22.0,,
37,15,Arvo Ossian Aaltonen,M,30.0,,
38,15,Arvo Ossian Aaltonen,M,30.0,,
39,15,Arvo Ossian Aaltonen,M,34.0,,
40,16,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0
41,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
42,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
43,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
44,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
45,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
46,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
47,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
48,17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
49,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
50,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
51,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
52,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
53,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
54,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
55,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
56,17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0
57,18,Timo Antero Aaltonen,M,31.0,189.0,130.0
58,19,Win Valdemar Aaltonen,M,54.0,,
59,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0
60,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0
61,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0
62,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0
63,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0
64,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0
65,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0
66,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0
67,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0
68,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0
69,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0
70,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0
71,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0
72,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0
73,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0
74,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0
75,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0
76,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0
77,20,Kjetil Andr Aamodt,M,34.0,176.0,85.0
78,20,Kjetil Andr Aamodt,M,34.0,176.0,85.0
79,21,Ragnhild Margrethe Aamodt,F,27.0,163.0,
80,22,Andreea Aanei,F,22.0,170.0,125.0
81,23,Fritz Aanes,M,22.0,187.0,89.0
82,23,Fritz Aanes,M,26.0,187.0,89.0
83,24,Nils Egil Aaness,M,24.0,,
